kgcid,groupname,country,year,relative_size,size,religion_1,religion_2
102,Berbers,Algeria,1998,0.24,8453970,Sunni Muslim,
102,Berbers,Algeria,1999,0.24,8574554,Sunni Muslim,
102,Berbers,Algeria,2000,0.23,8691827,Sunni Muslim,
102,Berbers,Algeria,2001,0.23,8806424,Sunni Muslim,
102,Berbers,Algeria,2002,0.23,8919431,Sunni Muslim,
102,Berbers,Algeria,2003,0.23,9033965,Sunni Muslim,
102,Berbers,Algeria,2004,0.22,9153803,Sunni Muslim,
102,Berbers,Algeria,2005,0.22,9281922,Sunni Muslim,
102,Berbers,Algeria,2006,0.22,9419482,Sunni Muslim,
102,Berbers,Algeria,2007,0.21,9566753,Sunni Muslim,
102,Berbers,Algeria,2008,0.21,9724569,Sunni Muslim,
102,Berbers,Algeria,2009,0.21,9893487,Sunni Muslim,
102,Berbers,Algeria,2010,0.2,10073686,Sunni Muslim,
102,Berbers,Algeria,2011,0.2,10265203,Sunni Muslim,
102,Berbers,Algeria,2012,0.2,10467492,Sunni Muslim,
102,Berbers,Algeria,2013,0.19,10679238,Sunni Muslim,
102,Berbers,Algeria,2014,0.19,10898633,Sunni Muslim,
102,Berbers,Algeria,2015,0.18,11123846,Sunni Muslim,
102,Berbers,Algeria,2016,0.18,11354391,Sunni Muslim,
102,Berbers,Algeria,2017,0.18,11588969,Sunni Muslim,
102,Berbers,Algeria,2018,0.17,11823956,Sunni Muslim,
102,Berbers,Algeria,2019,0.17,12054855,Sunni Muslim,
102,Berbers,Algeria,2020,0.17,12278292,Sunni Muslim,
103,Chittagong Hill Peoples,Bangladesh,1972,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1973,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1974,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1975,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1976,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1977,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1978,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1979,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1980,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1981,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1982,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1983,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1984,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1985,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1986,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1987,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1988,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1989,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1990,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1991,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1992,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1993,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1994,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1995,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1996,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1997,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1998,0.01,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,1999,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2000,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2001,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2002,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2003,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2004,0,612802,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2005,0,621687,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2006,0,630192,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2007,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2008,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2009,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2010,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2011,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2012,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2013,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2014,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2015,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2016,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2017,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2018,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2019,0,621560,Buddhist,Muslim
103,Chittagong Hill Peoples,Bangladesh,2020,0,621560,Buddhist,Muslim
104,Walloons,Belgium,1962,,3713418,Catholic,
104,Walloons,Belgium,1963,,3736168,Catholic,
104,Walloons,Belgium,1964,,3757720,Catholic,
104,Walloons,Belgium,1965,,3777579,Catholic,
104,Walloons,Belgium,1966,,3795504,Catholic,
104,Walloons,Belgium,1967,,3811618,Catholic,
104,Walloons,Belgium,1968,,3826236,Catholic,
104,Walloons,Belgium,1969,,3839860,Catholic,
104,Walloons,Belgium,1970,,3852872,Catholic,
104,Walloons,Belgium,1971,,3865329,Catholic,
104,Walloons,Belgium,1972,,3877138,Catholic,
104,Walloons,Belgium,1973,,3888300,Catholic,
104,Walloons,Belgium,1974,,3898809,Catholic,
104,Walloons,Belgium,1975,,3908633,Catholic,
104,Walloons,Belgium,1976,,3917908,Catholic,
104,Walloons,Belgium,1977,,3926677,Catholic,
104,Walloons,Belgium,1978,,3934725,Catholic,
104,Walloons,Belgium,1979,,3941749,Catholic,
104,Walloons,Belgium,1980,,3947600,Catholic,
104,Walloons,Belgium,1981,,3952238,Catholic,
104,Walloons,Belgium,1982,,3955928,Catholic,
104,Walloons,Belgium,1983,,3959151,Catholic,
104,Walloons,Belgium,1984,,3962548,Catholic,
104,Walloons,Belgium,1985,,3966631,Catholic,
104,Walloons,Belgium,1986,,3971416,Catholic,
104,Walloons,Belgium,1987,,3976912,Catholic,
104,Walloons,Belgium,1988,,3983604,Catholic,
104,Walloons,Belgium,1989,,3992070,Catholic,
104,Walloons,Belgium,1990,,4002618,Catholic,
104,Walloons,Belgium,1991,,4015780,Catholic,
104,Walloons,Belgium,1992,,4031239,Catholic,
104,Walloons,Belgium,1993,,4047474,Catholic,
104,Walloons,Belgium,1994,,4062364,Catholic,
104,Walloons,Belgium,1995,,4074522,Catholic,
104,Walloons,Belgium,1996,,4083306,Catholic,
104,Walloons,Belgium,1997,,4089514,Catholic,
104,Walloons,Belgium,1998,,4094919,Catholic,
104,Walloons,Belgium,1999,,4102064,Catholic,
104,Walloons,Belgium,2000,,4112818,Catholic,
104,Walloons,Belgium,2001,,4127610,Catholic,
104,Walloons,Belgium,2002,,4145952,Catholic,
104,Walloons,Belgium,2003,,4167612,Catholic,
104,Walloons,Belgium,2004,,4192047,Catholic,
104,Walloons,Belgium,2005,,4218754,Catholic,
104,Walloons,Belgium,2006,,4247794,Catholic,
104,Walloons,Belgium,2007,,4279030,Catholic,
104,Walloons,Belgium,2008,,4311506,Catholic,
104,Walloons,Belgium,2009,,4343974,Catholic,
104,Walloons,Belgium,2010,,4375494,Catholic,
104,Walloons,Belgium,2011,,4405544,Catholic,
104,Walloons,Belgium,2012,,4434142,Catholic,
104,Walloons,Belgium,2013,,4461603,Catholic,
104,Walloons,Belgium,2014,,4488490,Catholic,
104,Walloons,Belgium,2015,,4515172,Catholic,
104,Walloons,Belgium,2016,,4541763,Catholic,
104,Walloons,Belgium,2017,,4567901,Catholic,
104,Walloons,Belgium,2018,,4592872,Catholic,
104,Walloons,Belgium,2019,,4615730,Catholic,
104,Walloons,Belgium,2020,,4635846,Catholic,
105,Indigenous Peoples,Canada,1977,0.06,472688,Christian,Traditional
105,Indigenous Peoples,Canada,1978,0.06,478034,Christian,Traditional
105,Indigenous Peoples,Canada,1979,0.06,483223,Christian,Traditional
105,Indigenous Peoples,Canada,1980,0.06,488338,Christian,Traditional
105,Indigenous Peoples,Canada,1981,0.06,493363,Christian,Traditional
105,Indigenous Peoples,Canada,1982,0.06,498331,Christian,Traditional
105,Indigenous Peoples,Canada,1983,0.06,503429,Christian,Traditional
105,Indigenous Peoples,Canada,1984,0.06,508898,Christian,Traditional
105,Indigenous Peoples,Canada,1985,0.06,1261496,Christian,Traditional
105,Indigenous Peoples,Canada,1986,0.05,1277700,Christian,Traditional
105,Indigenous Peoples,Canada,1987,0.05,1295212,Christian,Traditional
105,Indigenous Peoples,Canada,1988,0.05,1313500,Christian,Traditional
105,Indigenous Peoples,Canada,1989,0.05,1331795,Christian,Traditional
105,Indigenous Peoples,Canada,1990,0.05,1349525,Christian,Traditional
105,Indigenous Peoples,Canada,1991,0.05,1366552,Christian,Traditional
105,Indigenous Peoples,Canada,1992,0.05,1382996,Christian,Traditional
105,Indigenous Peoples,Canada,1993,0.05,1398850,Christian,Traditional
105,Indigenous Peoples,Canada,1994,0.05,1414176,Christian,Traditional
105,Indigenous Peoples,Canada,1995,0.05,1429043,Christian,Traditional
105,Indigenous Peoples,Canada,1996,0.05,1443433,Christian,Traditional
105,Indigenous Peoples,Canada,1997,0.05,1457377,Christian,Traditional
105,Indigenous Peoples,Canada,1998,0.05,1471082,Christian,Traditional
105,Indigenous Peoples,Canada,1999,0.05,1484823,Christian,Traditional
105,Indigenous Peoples,Canada,2000,0.05,1498831,Christian,Traditional
105,Indigenous Peoples,Canada,2001,0.05,1513124,Christian,Traditional
105,Indigenous Peoples,Canada,2002,0.05,1527735,Christian,Traditional
105,Indigenous Peoples,Canada,2003,0.05,1542914,Christian,Traditional
105,Indigenous Peoples,Canada,2004,0.04,1558959,Christian,Traditional
105,Indigenous Peoples,Canada,2005,0.04,1576051,Christian,Traditional
105,Indigenous Peoples,Canada,2006,0.04,1594313,Christian,Traditional
105,Indigenous Peoples,Canada,2007,0.04,1613609,Christian,Traditional
105,Indigenous Peoples,Canada,2008,0.04,1633544,Christian,Traditional
105,Indigenous Peoples,Canada,2009,0.04,1653559,Christian,Traditional
105,Indigenous Peoples,Canada,2010,0.04,1673231,Christian,Traditional
105,Indigenous Peoples,Canada,2011,0.04,1692419,Christian,Traditional
105,Indigenous Peoples,Canada,2012,0.04,1711180,Christian,Traditional
105,Indigenous Peoples,Canada,2013,0.04,1729530,Christian,Traditional
105,Indigenous Peoples,Canada,2014,0.04,1747553,Christian,Traditional
105,Indigenous Peoples,Canada,2015,0.04,1765307,Christian,Traditional
105,Indigenous Peoples,Canada,2016,0.04,1782764,Christian,Traditional
105,Indigenous Peoples,Canada,2017,0.04,1799872,Christian,Traditional
105,Indigenous Peoples,Canada,2018,0.04,1816653,Christian,Traditional
105,Indigenous Peoples,Canada,2019,0.04,1833141,Christian,Traditional
105,Indigenous Peoples,Canada,2020,0.04,1849366,Christian,Traditional
106,Tibetans,China,1979,0,2612757,Buddhist,
106,Tibetans,China,1980,0,2612757,Buddhist,
106,Tibetans,China,1981,0,2612757,Buddhist,
106,Tibetans,China,1982,0,2612757,Buddhist,
106,Tibetans,China,1983,0,2612757,Buddhist,
106,Tibetans,China,1984,0,2612757,Buddhist,
106,Tibetans,China,1985,0,2612757,Buddhist,
106,Tibetans,China,1986,0,2612757,Buddhist,
106,Tibetans,China,1987,0,2612757,Buddhist,
106,Tibetans,China,1988,0,2612757,Buddhist,
106,Tibetans,China,1989,0,2612757,Buddhist,
106,Tibetans,China,1990,0,2612757,Buddhist,
106,Tibetans,China,1991,0,2612757,Buddhist,
106,Tibetans,China,1992,0,2612757,Buddhist,
106,Tibetans,China,1993,0,2612757,Buddhist,
106,Tibetans,China,1994,0,2612757,Buddhist,
106,Tibetans,China,1995,0,2612757,Buddhist,
106,Tibetans,China,1996,0,2612757,Buddhist,
106,Tibetans,China,1997,0,2612757,Buddhist,
106,Tibetans,China,1998,0,2612757,Buddhist,
106,Tibetans,China,1999,0,2612757,Buddhist,
106,Tibetans,China,2000,0,2612757,Buddhist,
106,Tibetans,China,2001,0,2612757,Buddhist,
106,Tibetans,China,2002,0,2612757,Buddhist,
106,Tibetans,China,2003,0,2612757,Buddhist,
106,Tibetans,China,2004,0,2597695,Buddhist,
106,Tibetans,China,2005,0,2612628,Buddhist,
106,Tibetans,China,2006,0,2627947,Buddhist,
106,Tibetans,China,2007,0,2612757,Buddhist,
106,Tibetans,China,2008,0,2612757,Buddhist,
106,Tibetans,China,2009,0,2612757,Buddhist,
106,Tibetans,China,2010,0,2612757,Buddhist,
106,Tibetans,China,2011,0,2612757,Buddhist,
106,Tibetans,China,2012,0,2612757,Buddhist,
106,Tibetans,China,2013,0,2612757,Buddhist,
106,Tibetans,China,2014,0,2612757,Buddhist,
106,Tibetans,China,2015,0,2612757,Buddhist,
106,Tibetans,China,2016,0,2612757,Buddhist,
106,Tibetans,China,2017,0,2612757,Buddhist,
106,Tibetans,China,2018,0,2612757,Buddhist,
106,Tibetans,China,2019,0,2612757,Buddhist,
106,Tibetans,China,2020,0,2612757,Buddhist,
107,Indigenous Peoples,Colombia,1982,0.03,6463420,Christian,Traditional
107,Indigenous Peoples,Colombia,1983,0.03,6604262,Christian,Traditional
107,Indigenous Peoples,Colombia,1984,0.03,6746183,Christian,Traditional
107,Indigenous Peoples,Colombia,1985,0.03,6888775,Christian,Traditional
107,Indigenous Peoples,Colombia,1986,0.03,7031670,Christian,Traditional
107,Indigenous Peoples,Colombia,1987,0.03,7174946,Christian,Traditional
107,Indigenous Peoples,Colombia,1988,0.03,7319181,Christian,Traditional
107,Indigenous Peoples,Colombia,1989,0.03,7465224,Christian,Traditional
107,Indigenous Peoples,Colombia,1990,0.03,7613591,Christian,Traditional
107,Indigenous Peoples,Colombia,1991,0.03,7764415,Christian,Traditional
107,Indigenous Peoples,Colombia,1992,0.03,8605642,Christian,Traditional
107,Indigenous Peoples,Colombia,1993,0.03,8772818,Christian,Traditional
107,Indigenous Peoples,Colombia,1994,0.03,8939744,Christian,Traditional
107,Indigenous Peoples,Colombia,1995,0.03,9105360,Christian,Traditional
107,Indigenous Peoples,Colombia,1996,0.02,9269097,Christian,Traditional
107,Indigenous Peoples,Colombia,1997,0.02,9430951,Christian,Traditional
107,Indigenous Peoples,Colombia,1998,0.02,9591077,Christian,Traditional
107,Indigenous Peoples,Colombia,1999,0.02,9749867,Christian,Traditional
107,Indigenous Peoples,Colombia,2000,0.02,9907491,Christian,Traditional
107,Indigenous Peoples,Colombia,2001,0.02,10063989,Christian,Traditional
107,Indigenous Peoples,Colombia,2002,0.02,10218841,Christian,Traditional
107,Indigenous Peoples,Colombia,2003,0.02,10370968,Christian,Traditional
107,Indigenous Peoples,Colombia,2004,0.02,10518988,Christian,Traditional
107,Indigenous Peoples,Colombia,2005,0.02,10661933,Christian,Traditional
107,Indigenous Peoples,Colombia,2006,0.02,10800225,Christian,Traditional
107,Indigenous Peoples,Colombia,2007,0.02,10934378,Christian,Traditional
107,Indigenous Peoples,Colombia,2008,0.02,11063743,Christian,Traditional
107,Indigenous Peoples,Colombia,2009,0.02,11187514,Christian,Traditional
107,Indigenous Peoples,Colombia,2010,0.02,11305675,Christian,Traditional
107,Indigenous Peoples,Colombia,2011,0.02,11415687,Christian,Traditional
107,Indigenous Peoples,Colombia,2012,0.02,11518930,Christian,Traditional
107,Indigenous Peoples,Colombia,2013,0.02,11623873,Christian,Traditional
107,Indigenous Peoples,Colombia,2014,0.02,11741926,Christian,Traditional
107,Indigenous Peoples,Colombia,2015,0.02,11880167,Christian,Traditional
107,Indigenous Peoples,Colombia,2016,0.02,12043762,Christian,Traditional
107,Indigenous Peoples,Colombia,2017,0.02,12227461,Christian,Traditional
107,Indigenous Peoples,Colombia,2018,0.02,12415264,Christian,Traditional
107,Indigenous Peoples,Colombia,2019,0.02,12584861,Christian,Traditional
107,Indigenous Peoples,Colombia,2020,0.02,12720721,Christian,Traditional
108,Turkish Cypriots,Cyprus,1960,0.25,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1961,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1962,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1963,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1964,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1965,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1966,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1967,0.24,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1968,0.23,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1969,0.23,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1970,0.23,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1971,0.23,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1972,0.22,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1973,0.22,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1974,0.22,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1975,0.22,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1976,0.21,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1977,0.21,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1978,0.21,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1979,0.21,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1980,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1981,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1982,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1983,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1984,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1985,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1986,0.2,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1987,0.19,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1988,0.19,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1989,0.19,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1990,0.18,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1991,0.18,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1992,0.18,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1993,0.17,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1994,0.17,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1995,0.16,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1996,0.16,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1997,0.16,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1998,0.15,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,1999,0.15,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2000,0.15,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2001,0.15,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2002,0.14,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2003,0.14,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2004,0.14,139667,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2005,0.14,140424,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2006,0.14,141174,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2007,0.13,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2008,0.13,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2009,0.13,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2010,0.13,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2011,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2012,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2013,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2014,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2015,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2016,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2017,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2018,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2019,0.12,140422,Sunni Muslim,
108,Turkish Cypriots,Cyprus,2020,0.12,140422,Sunni Muslim,
109,Afars,Ethiopia,1975,0.09,446166,Sunni Muslim,
109,Afars,Ethiopia,1976,0.09,453856,Sunni Muslim,
109,Afars,Ethiopia,1977,0.09,460008,Sunni Muslim,
109,Afars,Ethiopia,1978,0.09,465708,Sunni Muslim,
109,Afars,Ethiopia,1979,0.09,472483,Sunni Muslim,
109,Afars,Ethiopia,1980,0.09,481441,Sunni Muslim,
109,Afars,Ethiopia,1981,0.08,492988,Sunni Muslim,
109,Afars,Ethiopia,1982,0.08,506835,Sunni Muslim,
109,Afars,Ethiopia,1983,0.08,522555,Sunni Muslim,
109,Afars,Ethiopia,1984,0.08,539429,Sunni Muslim,
109,Afars,Ethiopia,1985,0.07,556934,Sunni Muslim,
109,Afars,Ethiopia,1986,0.07,574930,Sunni Muslim,
109,Afars,Ethiopia,1987,0.07,593611,Sunni Muslim,
