kgcid,groupname,country,year,relative_size,size,religion_1,religion_2,region,civil_war,civil_war_onset,civil_war_prev_yr,milex,population,gdp,uds,checks,fh_political_rights,fh_civil_liberties,fh_status,polity_democracy,polity_autocracy,polity_total
101,Tajiks,Afghanistan,2016,0.23,8845757,Sunni Muslim,"",South Asia,1,0,1,185878310.062383,35383028,18116562464.9088,,,6,6,NF,1,2,-1
101,Tajiks,Afghanistan,2017,0.22,9074028,Sunni Muslim,"",South Asia,1,0,1,191407113.244397,36296111,18753469630.2586,,,5,6,NF,1,2,-1
101,Tajiks,Afghanistan,2018,0.22,9292980,Sunni Muslim,"",South Asia,1,0,1,198074728.574408,37171922,18053228578.8878,,,5,6,NF,1,2,-1
101,Tajiks,Afghanistan,2019,0.21,9510439,Sunni Muslim,"",South Asia,1,0,1,225835643.869378,38041757,18799450742.7823,,,5,6,NF,,,
101,Tajiks,Afghanistan,2020,0.21,9732085,Sunni Muslim,"",South Asia,1,0,1,279576954.925193,38928341,20116137325.8206,,,5,6,NF,,,
102,Berbers,Algeria,1963,0.61,3335584,Sunni Muslim,"",Middle East & North Africa,0,0,0,66436300.1462409,11912800,2702960118.28806,-1.11109716976231,,,,"",0,8,-8
102,Berbers,Algeria,1964,0.6,3422069,Sunni Muslim,"",Middle East & North Africa,0,0,0,99856999.9149291,12221675,2909292864.23204,-1.10068008998198,,,,"",0,8,-8
102,Berbers,Algeria,1965,0.58,3514246,Sunni Muslim,"",Middle East & North Africa,0,0,0,105528391.390828,12550880,3136258896.9233,-1.14562832106624,,,,"",0,9,-9
102,Berbers,Algeria,1966,0.57,3612735,Sunni Muslim,"",Middle East & North Africa,0,0,0,104515642.912989,12902626,3039834558.74906,-1.29427965220853,,,,"",0,9,-9
102,Berbers,Algeria,1967,0.55,3717006,Sunni Muslim,"",Middle East & North Africa,0,0,0,99249350.8282257,13275020,3370843065.76735,-1.46641454221369,,,,"",0,9,-9
102,Berbers,Algeria,1968,0.53,3825803,Sunni Muslim,"",Middle East & North Africa,0,0,0,99249350.8282257,13663581,3852115816.97758,-1.46229765284774,,,,"",0,9,-9
102,Berbers,Algeria,1969,0.52,3937283,Sunni Muslim,"",Middle East & North Africa,0,0,0,99249350.8282257,14061724,4257218772.15369,-1.45768215498102,,,,"",0,9,-9
102,Berbers,Algeria,1970,0.5,4050198,Sunni Muslim,"",Middle East & North Africa,0,0,0,98844251.4370901,14464992,4863487492.65763,-1.45914796303276,,,,"",0,9,-9
102,Berbers,Algeria,1971,0.49,4164231,Sunni Muslim,"",Middle East & North Africa,0,0,0,99946261.0734758,14872253,5077222366.97472,-1.46153336073214,,,,"",0,9,-9
102,Berbers,Algeria,1972,0.48,4280078,Sunni Muslim,"",Middle East & North Africa,0,0,0,109942841.328331,15285992,6766766610.86932,-1.15518186544787,,6,6,NF,0,9,-9
102,Berbers,Algeria,1973,0.46,4398753,Sunni Muslim,"",Middle East & North Africa,0,0,0,136757097.791798,15709831,8707847924.29022,-1.1522307372335,,6,6,NF,0,9,-9
102,Berbers,Algeria,1974,0.45,4521725,Sunni Muslim,"",Middle East & North Africa,0,0,0,260168630.030497,16149018,13210029612.2659,-1.14765751916686,,6,6,NF,0,9,-9
102,Berbers,Algeria,1975,0.44,4650158,Sunni Muslim,"",Middle East & North Africa,0,0,0,332252159.18327,16607706,15557934268.4965,-1.24624446489435,1,7,6,NF,0,9,-9
102,Berbers,Algeria,1976,0.43,4784024,Sunni Muslim,"",Middle East & North Africa,0,0,0,480640373.503177,17085799,17728347374.994,-1.15784886506937,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1977,0.41,4923212,Sunni Muslim,"",Middle East & North Africa,0,0,0,471669447.954548,17582899,20971901273.271,-1.06236472709067,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1978,0.4,5068634,Sunni Muslim,"",Middle East & North Africa,0,0,0,627852442.068635,18102266,26364491313.4471,-1.06295775077033,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1979,0.39,5221384,Sunni Muslim,"",Middle East & North Africa,0,0,0,711681247.356142,18647801,33243422157.6311,-1.06421738871597,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1980,0.38,5382065,Sunni Muslim,"",Middle East & North Africa,0,0,0,890174464.813874,19221659,42346380830.7708,-1.12863305076266,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1981,0.37,5550803,Sunni Muslim,"",Middle East & North Africa,0,0,0,806569334.609262,19824297,44348672667.8715,-1.06581710173818,1,,,"",0,9,-9
102,Berbers,Algeria,1982,0.36,5726812,Sunni Muslim,"",Middle East & North Africa,0,0,0,932452707.749461,20452901,45207088715.6483,-1.05773087395079,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1983,0.35,5908525,Sunni Muslim,"",Middle East & North Africa,0,0,0,952430671.56699,21101875,48801369800.3675,-1.13759209902395,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1984,0.34,6093802,Sunni Muslim,"",Middle East & North Africa,0,0,0,929290821.271549,21763578,53698278905.9678,-1.13567200152182,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1985,0.33,6280822,Sunni Muslim,"",Middle East & North Africa,0,0,0,953299653.924182,22431507,57937868670.1937,-1.1812275205681,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1986,0.32,6468668,Sunni Muslim,"",Middle East & North Africa,0,0,0,1127103217.13537,23102386,63692238160.0493,-1.13177741311589,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1987,0.31,6656800,Sunni Muslim,"",Middle East & North Africa,0,0,0,1196971384.03296,23774287,66746396416.2732,-1.13087231504642,1,6,6,NF,0,9,-9
102,Berbers,Algeria,1988,0.3,6844172,Sunni Muslim,"",Middle East & North Africa,0,0,0,1028611425.29633,24443472,59089067187.3943,-0.863628267721883,1,5,6,NF,0,9,-9
102,Berbers,Algeria,1989,0.29,7029734,Sunni Muslim,"",Middle East & North Africa,0,0,0,854300945.251138,25106192,55634414465.2104,-0.329893895168939,1,6,4,PF,1,3,-2
102,Berbers,Algeria,1990,0.28,7212484,Sunni Muslim,"",Middle East & North Africa,0,0,0,904269155.155841,25758872,62048562947.2509,-0.185477586824361,1,4,4,PF,1,3,-2
102,Berbers,Algeria,1991,0.28,7392131,Sunni Muslim,"",Middle East & North Africa,1,1,0,565098062.567328,26400468,45715614559.7064,-0.187777260820989,1,4,4,PF,1,3,-2
102,Berbers,Algeria,1992,0.27,7567932,Sunni Muslim,"",Middle East & North Africa,1,0,1,1053301642.69261,27028330,48003078388.5401,-1.00538871753233,1,7,6,NF,0,7,-7
102,Berbers,Algeria,1993,0.26,7737945,Sunni Muslim,"",Middle East & North Africa,1,0,1,1276911083.12558,27635517,49945599428.5812,-1.01142800778623,1,7,6,NF,0,7,-7
102,Berbers,Algeria,1994,0.26,7899858,Sunni Muslim,"",Middle East & North Africa,1,0,1,1334911647.6746,28213777,42543178042.4148,-1.18595469274612,1,7,7,NF,0,7,-7
102,Berbers,Algeria,1995,0.25,8052181,Sunni Muslim,"",Middle East & North Africa,1,0,1,1234655191.58587,28757788,41764315330.4366,-0.426457454655125,1,6,6,NF,1,4,-3
102,Berbers,Algeria,1996,0.25,8194596,Sunni Muslim,"",Middle East & North Africa,1,0,1,1452431007.74627,29266415,46941582519.4661,-0.424794137410913,1,6,6,NF,1,4,-3
102,Berbers,Algeria,1997,0.25,8328034,Sunni Muslim,"",Middle East & North Africa,1,0,1,1752395277.54721,29742980,48177612042.1507,-0.373212869884836,,6,6,NF,1,4,-3
102,Berbers,Algeria,1998,0.24,8453970,Sunni Muslim,"",Middle East & North Africa,1,0,1,1910962052.4694,30192750,48187747528.899,-0.307139420605882,,6,5,NF,1,4,-3
102,Berbers,Algeria,1999,0.24,8574554,Sunni Muslim,"",Middle East & North Africa,1,0,1,1826496569.97712,30623406,48640653469.3025,-0.297735771868772,,6,5,NF,1,4,-3
102,Berbers,Algeria,2000,0.23,8691827,Sunni Muslim,"",Middle East & North Africa,1,0,1,1881163649.11945,31042238,54790392746.1939,-0.184923480904688,,6,5,NF,1,4,-3
102,Berbers,Algeria,2001,0.23,8806424,Sunni Muslim,"",Middle East & North Africa,1,0,1,2091627274.4933,31451513,54744712814.8676,-0.294056168413199,,6,5,NF,1,4,-3
102,Berbers,Algeria,2002,0.23,8919431,Sunni Muslim,"",Middle East & North Africa,1,0,1,2100602520.77322,31855110,56760355865.0082,-0.353189172714291,,6,5,NF,1,4,-3
102,Berbers,Algeria,2003,0.23,9033965,Sunni Muslim,"",Middle East & North Africa,1,0,1,2206395762.00013,32264159,67863828412.6882,-0.351475563407003,2,6,5,NF,1,4,-3
102,Berbers,Algeria,2004,0.22,9153803,Sunni Muslim,"",Middle East & North Africa,1,0,1,2802224794.13161,32692153,85332581188.6107,-0.296420924657129,2,6,5,NF,3,1,2
102,Berbers,Algeria,2005,0.22,9281922,Sunni Muslim,"",Middle East & North Africa,1,0,1,2924820166.95712,33149720,103198223709.439,-0.245186151802403,1,6,5,NF,3,1,2
102,Berbers,Algeria,2006,0.22,9419482,Sunni Muslim,"",Middle East & North Africa,1,0,1,3093978245.36868,33641007,117027307540.89,-0.339894376622645,1,6,5,NF,3,1,2
102,Berbers,Algeria,2007,0.21,9566753,Sunni Muslim,"",Middle East & North Africa,1,0,1,3945815125.46831,34166976,134977082623.78,-0.293937010988125,1,6,5,NF,3,1,2
102,Berbers,Algeria,2008,0.21,9724569,Sunni Muslim,"",Middle East & North Africa,1,0,1,5172336907.04027,34730604,171000699876.747,-0.342566181077531,3,6,5,NF,3,1,2
102,Berbers,Algeria,2009,0.21,9893487,Sunni Muslim,"",Middle East & North Africa,1,0,1,5280588155.94226,35333882,137211035770.034,-0.199808418505299,3,6,5,NF,3,1,2
102,Berbers,Algeria,2010,0.2,10073686,Sunni Muslim,"",Middle East & North Africa,1,0,1,5671309117.30702,35977451,161207270185.25,-0.279292874212688,3,6,5,NF,3,1,2
102,Berbers,Algeria,2011,0.2,10265203,Sunni Muslim,"",Middle East & North Africa,1,0,1,8652237040.00252,36661438,200013052199.2,-0.366649638024533,3,6,5,NF,3,1,2
102,Berbers,Algeria,2012,0.2,10467492,Sunni Muslim,"",Middle East & North Africa,1,0,1,9326287144.03632,37383899,209058991952.125,-0.372633709170093,3,6,5,NF,3,1,2
102,Berbers,Algeria,2013,0.19,10679238,Sunni Muslim,"",Middle East & North Africa,1,0,1,10161588239.1481,38140135,209755003250.664,,3,6,5,NF,3,1,2
102,Berbers,Algeria,2014,0.19,10898633,Sunni Muslim,"",Middle East & North Africa,1,0,1,9724379971.92326,38923688,213810024944.464,,3,6,5,NF,3,1,2
102,Berbers,Algeria,2015,0.18,11123846,Sunni Muslim,"",Middle East & North Africa,1,1,1,10412714002.8964,39728020,165979279263.174,,3,6,5,NF,3,1,2
102,Berbers,Algeria,2016,0.18,11354391,Sunni Muslim,"",Middle East & North Africa,1,0,1,10217081699.5693,40551398,160034163871.455,,3,6,5,NF,3,1,2
102,Berbers,Algeria,2017,0.18,11588969,Sunni Muslim,"",Middle East & North Africa,1,0,1,10073364021.3013,41389174,170097014589.134,,3,6,5,NF,3,1,2
102,Berbers,Algeria,2018,0.17,11823956,Sunni Muslim,"",Middle East & North Africa,1,0,1,9583724288.3703,42228415,174910878623.049,,3,6,5,NF,3,1,2
102,Berbers,Algeria,2019,0.17,12054855,Sunni Muslim,"",Middle East & North Africa,0,0,0,10303600575.2107,43053054,171767403748.19,,3,6,5,NF,,,
102,Berbers,Algeria,2020,0.17,12278292,Sunni Muslim,"",Middle East & North Africa,1,0,1,9708277440.22726,43851043,145009181490.62,,3,6,5,NF,,,
103,Chittagong Hill Peoples,Bangladesh,1972,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,,66625706,6288245866.66667,0.0493306170971274,,2,4,PF,8,0,8
103,Chittagong Hill Peoples,Bangladesh,1973,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,48606800.1313768,67637541,8086725729.3407,0.105285392095168,,4,4,PF,8,0,8
103,Chittagong Hill Peoples,Bangladesh,1974,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,72298235.0382714,68742222,12512460519.7088,-0.170397784638694,,4,4,PF,2,4,-2
103,Chittagong Hill Peoples,Bangladesh,1975,0.01,621560,Buddhist,Muslim,South Asia,1,1,0,80830559.4733651,70066310,19448348073.4565,-0.959149269112347,1,7,5,NF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1976,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,105287729.075513,71652386,10117113333.3333,-0.874674735268059,1,7,4,PF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1977,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,128522908.761231,73463593,9651149301.8746,-0.792232954217949,1,6,4,PF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1978,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,134871031.705263,75450033,13281767142.8571,-0.304999353678142,1,4,4,PF,0,4,-4
103,Chittagong Hill Peoples,Bangladesh,1979,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,136251932.925634,77529040,15565480321.9448,-0.0897752280224171,1,3,3,PF,0,4,-4
103,Chittagong Hill Peoples,Bangladesh,1980,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,167255351.167634,79639498,18138049095.6072,-0.189550022507452,2,3,4,PF,0,4,-4
103,Chittagong Hill Peoples,Bangladesh,1981,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,174106138.716989,81767516,20249694002.448,-0.234033814859844,2,,,"",0,4,-4
103,Chittagong Hill Peoples,Bangladesh,1982,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,184674562.508557,83932132,18525399201.5968,-0.872567710489161,3,5,5,PF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1983,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,231804492.459502,86142490,17609048821.5488,-0.801582708991186,1,6,5,PF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1984,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,244337571.539817,88416529,18920840000,-0.798995041087081,1,6,5,PF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1985,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,224948007.05318,90764180,22278423076.9231,-0.619954334519657,1,5,5,PF,0,7,-7
103,Chittagong Hill Peoples,Bangladesh,1986,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,248796417.166614,93187593,21774033333.3333,-0.257833418042923,1,4,5,PF,0,5,-5
103,Chittagong Hill Peoples,Bangladesh,1987,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,288311839.747867,95671159,24298032258.0645,-0.258350491965076,2,4,5,PF,0,5,-5
103,Chittagong Hill Peoples,Bangladesh,1988,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,331995586.627989,98186350,26579005760.3486,-0.314396681175807,2,4,5,PF,0,5,-5
103,Chittagong Hill Peoples,Bangladesh,1989,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,378796135.246148,100695496,28781714763.8012,-0.220713930251962,1,4,4,PF,0,5,-5
103,Chittagong Hill Peoples,Bangladesh,1990,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,373023438.959292,103171957,31598341233.559,-0.302962690636717,1,5,5,PF,0,5,-5
103,Chittagong Hill Peoples,Bangladesh,1991,0.01,621560,Buddhist,Muslim,South Asia,1,0,1,381720110.052258,105599125,30957483949.5798,0.360610726789417,1,2,3,F,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1992,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,427723624.979361,107983708,31708874594.1645,0.36132917737624,4,2,3,F,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1993,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,471044672.335061,110350641,33166519417.9894,0.317505671944771,4,2,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1994,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,547417522.185003,112737684,33768660882.793,0.31813114760864,4,2,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1995,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,620095155.928424,115169933,37939748768.6567,0.282520218444358,4,3,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1996,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,638958844.832812,117649927,46438484107.5795,0.319157228329406,4,2,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1997,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,681915123.987305,120160571,48244309133.4895,0.319108588457163,4,2,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1998,0.01,621560,Buddhist,Muslim,South Asia,0,0,0,701585600.35317,122682818,49984559471.3656,0.318238965393805,4,2,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,1999,0,621560,Buddhist,Muslim,South Asia,0,0,0,737412573.607247,125189655,51270569883.5275,0.355039935865811,4,3,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2000,0,621560,Buddhist,Muslim,South Asia,0,0,0,740798160.005685,127657862,53369787318.6245,0.197253314776083,4,3,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2001,0,621560,Buddhist,Muslim,South Asia,0,0,0,705481695.212977,130088709,53991289844.3291,0.354358381513456,4,3,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2002,0,621560,Buddhist,Muslim,South Asia,0,0,0,681816161.719721,132478077,54724081490.5102,0.308111151538339,3,4,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2003,0,621560,Buddhist,Muslim,South Asia,0,0,0,719442956.940887,134791598,60158929188.2556,0.303236241509623,3,4,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2004,0,612802,Buddhist,Muslim,South Asia,0,0,0,770641160.288967,136986429,65108544250.0425,0.300241046988602,3,4,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2005,0,621687,Buddhist,Muslim,South Asia,1,1,1,773677668.179153,139035505,69442943089.4309,0.299496787028189,3,4,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2006,0,630192,Buddhist,Muslim,South Asia,1,0,1,829682794.837739,140921154,71819083683.7403,0.37756284157803,3,4,4,PF,6,0,6
103,Chittagong Hill Peoples,Bangladesh,2007,0,621560,Buddhist,Muslim,South Asia,0,0,0,953464223.599622,142660381,79611888213.148,-0.498762645504954,1,5,4,PF,0,6,-6
103,Chittagong Hill Peoples,Bangladesh,2008,0,621560,Buddhist,Muslim,South Asia,0,0,0,1030020018.23876,144304164,91631278239.3237,-0.10704076797879,1,4,4,PF,0,6,-6
103,Chittagong Hill Peoples,Bangladesh,2009,0,621560,Buddhist,Muslim,South Asia,0,0,0,1258791156.60238,145924795,102477791472.39,0.307431642172721,3,3,4,PF,6,1,5
103,Chittagong Hill Peoples,Bangladesh,2010,0,621560,Buddhist,Muslim,South Asia,0,0,0,1624625085.96641,147575433,115279077465.226,0.260718646432783,3,3,4,PF,6,1,5
103,Chittagong Hill Peoples,Bangladesh,2011,0,621560,Buddhist,Muslim,South Asia,0,0,0,1801539801.81356,149273134,128637938711.386,0.164264002998959,3,3,4,PF,6,1,5
103,Chittagong Hill Peoples,Bangladesh,2012,0,621560,Buddhist,Muslim,South Asia,0,0,0,1823425076.37789,151005733,133355749482.478,0.165159547439563,3,3,4,PF,6,1,5
103,Chittagong Hill Peoples,Bangladesh,2013,0,621560,Buddhist,Muslim,South Asia,0,0,0,2047989070.87034,152761413,149990451022.29,,3,3,4,PF,5,1,4
103,Chittagong Hill Peoples,Bangladesh,2014,0,621560,Buddhist,Muslim,South Asia,0,0,0,2355991524.71153,154517385,172885454931.453,,3,4,4,PF,3,2,1
103,Chittagong Hill Peoples,Bangladesh,2015,0,621560,Buddhist,Muslim,South Asia,0,0,0,2815281640.95454,156256287,195078678697.23,,3,4,4,PF,3,2,1
103,Chittagong Hill Peoples,Bangladesh,2016,0,621560,Buddhist,Muslim,South Asia,1,1,1,3239753509.63918,157977151,221415188000.475,,3,4,4,PF,3,2,1
103,Chittagong Hill Peoples,Bangladesh,2017,0,621560,Buddhist,Muslim,South Asia,1,0,1,3266033239.35658,159685421,249710922462.309,,3,4,4,PF,3,2,1
103,Chittagong Hill Peoples,Bangladesh,2018,0,621560,Buddhist,Muslim,South Asia,0,0,0,3649623807.57659,161376713,274038973437.275,,3,5,5,PF,0,6,-6
103,Chittagong Hill Peoples,Bangladesh,2019,0,621560,Buddhist,Muslim,South Asia,0,0,0,4348501894.83657,163046173,302571320445.75,,3,5,5,PF,,,
103,Chittagong Hill Peoples,Bangladesh,2020,0,621560,Buddhist,Muslim,South Asia,0,0,0,4558171467.63472,164689383,323056957972.312,,3,5,5,PF,,,
104,Walloons,Belgium,1962,,3713418,Catholic,"",Europe & Central Asia,0,0,0,422220787.917416,9283545,13264015675.3193,1.27732648810919,,,,"",9,0,9
104,Walloons,Belgium,1963,,3736168,Catholic,"",Europe & Central Asia,0,0,0,444601321.532591,9340419,14260017387.0492,1.5859447021339,,,,"",9,0,9
104,Walloons,Belgium,1964,,3757720,Catholic,"",Europe & Central Asia,0,0,0,497059226.927638,9394300,15960106680.6732,1.57038020658386,,,,"",9,0,9
104,Walloons,Belgium,1965,,3777579,Catholic,"",Europe & Central Asia,0,0,0,500722082.825724,9443948,17371457607.9374,1.51472668174444,,,,"",9,0,9
