kgcid,group,country,year,relative_size,religion_1,religion_2,civil_war,civil_war_onset,civil_war_prev_yr,milex,population,gdp,uds,checks,fh_political_rights,fh_civil_liberties,fh_status,polity_democracy,polity_autocracy,polity_total,election,referendum
101,Tajiks,Afghanistan,1997,0.25,Sunni Muslim,"",1,0,1,,17447156,,-1.148587,1,7,7,NF,0,7,-7,0,0
101,Tajiks,Afghanistan,1998,0.25,Sunni Muslim,"",1,0,1,,18130482,,-1.143971105,1,7,7,NF,0,7,-7,0,0
101,Tajiks,Afghanistan,1999,0.25,Sunni Muslim,"",1,0,1,,18855782,,-1.1397981,1,7,7,NF,0,7,-7,0,0
101,Tajiks,Afghanistan,2000,0.25,Sunni Muslim,"",1,0,1,,19669913,,-1.33092639,1,7,7,NF,0,7,-7,0,0
101,Tajiks,Afghanistan,2001,0.25,Sunni Muslim,"",1,1,1,,19416052,,-1.6174268,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,2002,0.25,Sunni Muslim,"",1,0,1,,19961213,4055179566.34981,-0.8685109,1,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,2003,0.25,Sunni Muslim,"",1,0,1,,22039300,4515558808.10994,-0.868549149,1,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,2004,0.25,Sunni Muslim,"",1,0,1,125111557.457054,23250960,5226778808.89209,-0.67943125,1,5,6,NF,,,,1,0
101,Tajiks,Afghanistan,2005,0.25,Sunni Muslim,"",1,0,1,122727193.134874,23856141,6209137624.77181,-0.184462054,1,5,5,PF,,,,1,0
101,Tajiks,Afghanistan,2006,0.25,Sunni Muslim,"",1,0,1,131346231.269517,24966240,6971285594.68013,-0.186974275,1,5,5,PF,,,,0,0
101,Tajiks,Afghanistan,2007,0.25,Sunni Muslim,"",1,0,1,219580214.296198,25919648,9747879531.86311,-0.185496481,1,5,5,PF,,,,0,0
101,Tajiks,Afghanistan,2008,0.25,Sunni Muslim,"",1,0,1,240532594.620985,25886953,10109305182.952,-0.28043659,1,5,6,NF,,,,0,0
101,Tajiks,Afghanistan,2009,0.25,Sunni Muslim,"",1,0,1,251869514.820335,26967445,12416161048.8412,,1,6,6,NF,,,,1,0
101,Tajiks,Afghanistan,2010,0.25,Sunni Muslim,"",1,0,1,298146852.519599,27803170,15856678596.148,,1,6,6,NF,,,,1,0
101,Tajiks,Afghanistan,2011,0.25,Sunni Muslim,"",1,0,1,325807003.657989,28576174,17805113118.8938,,,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,2012,0.25,Sunni Muslim,"",1,0,1,238583385.374322,29922140,19907317065.6666,,,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,2013,0.25,Sunni Muslim,"",1,0,1,217194107.113298,31010817,20146404996.223,,,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,2014,0.25,Sunni Muslim,"",1,0,1,268227074.235808,32071600,20497126770.1335,,,6,6,NF,1,2,-1,2,0
101,Tajiks,Afghanistan,2015,0.25,Sunni Muslim,"",1,1,1,199518614.831897,33360820,19134211763.859,,,6,6,NF,1,2,-1,0,0
101,Tajiks,Afghanistan,2016,0.25,Sunni Muslim,"",1,0,1,185878310.062383,34146178,18116562464.9088,,,6,6,NF,1,2,-1,1,0
101,Tajiks,Afghanistan,2017,0.25,Sunni Muslim,"",1,0,1,191407113.244397,35126237,18753469630.2586,,,5,6,NF,1,2,-1,0,0
101,Tajiks,Afghanistan,2018,0.25,Sunni Muslim,"",1,0,1,198074728.574408,36160598,18053228578.8878,,,5,6,NF,1,2,-1,1,0
101,Tajiks,Afghanistan,2019,0.25,Sunni Muslim,"",1,0,1,225835643.869378,37212970,18799450742.7823,,,5,6,NF,,,,1,0
101,Tajiks,Afghanistan,2020,0.25,Sunni Muslim,"",1,0,1,279576954.925193,38326027,20116137325.8206,,,5,6,NF,,,,0,0
102,Berbers,Algeria,1988,0.28,Sunni Muslim,"",0,0,0,1028611425.29633,23916490,59089067187.3943,-0.85294551,1,5,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1989,0.28,Sunni Muslim,"",0,0,0,854300945.251138,24569547,55634414465.2104,-0.29302653,1,6,4,PF,1,3,-2,0,0
102,Berbers,Algeria,1990,0.28,Sunni Muslim,"",0,0,0,904269155.155841,25209467,62048562947.2509,-0.156420674,1,4,4,PF,1,3,-2,0,0
102,Berbers,Algeria,1991,0.28,Sunni Muslim,"",1,1,1,565098062.567328,25826681,45715614559.7064,-0.15263283,1,4,4,PF,1,3,-2,0,0
102,Berbers,Algeria,1992,0.28,Sunni Muslim,"",1,0,1,1053301642.69261,26441129,48003078388.5401,-0.975784204,1,7,6,NF,0,7,-7,0,0
102,Berbers,Algeria,1993,0.28,Sunni Muslim,"",1,0,1,1276911083.12558,27055476,49945599428.5812,-0.971406,1,7,6,NF,0,7,-7,0,0
102,Berbers,Algeria,1994,0.28,Sunni Muslim,"",1,0,1,1334911647.6746,27653179,42543178042.4148,-1.142225843,1,7,7,NF,0,7,-7,0,0
102,Berbers,Algeria,1995,0.28,Sunni Muslim,"",1,0,1,1234655191.58587,28220833,41764315330.4366,-0.367579727,1,6,6,NF,1,4,-3,0,0
102,Berbers,Algeria,1996,0.28,Sunni Muslim,"",1,0,1,1452431007.74627,28735211,46941582519.4661,-0.366764173,1,6,6,NF,1,4,-3,0,0
102,Berbers,Algeria,1997,0.28,Sunni Muslim,"",1,0,1,1752395277.54721,29234057,48177612042.1507,-0.3145118,,6,6,NF,1,4,-3,0,0
102,Berbers,Algeria,1998,0.28,Sunni Muslim,"",1,0,1,1910962052.4694,29718005,48187747528.899,-0.256801961,,6,5,NF,1,4,-3,0,0
102,Berbers,Algeria,1999,0.28,Sunni Muslim,"",1,0,1,1826496569.97712,30131332,48640653469.3025,-0.23806149,,6,5,NF,1,4,-3,1,0
102,Berbers,Algeria,2000,0.28,Sunni Muslim,"",1,0,1,1881163649.11945,30560833,54790392746.1939,-0.13926356,,6,5,NF,1,4,-3,0,0
102,Berbers,Algeria,2001,0.28,Sunni Muslim,"",1,0,1,2091627274.4933,30988409,54744712814.8676,-0.23837441,,6,5,NF,1,4,-3,0,0
102,Berbers,Algeria,2002,0.28,Sunni Muslim,"",1,0,1,2100602520.77323,31413562,56760355865.0082,-0.29983593,,6,5,NF,1,4,-3,1,0
102,Berbers,Algeria,2003,0.28,Sunni Muslim,"",1,0,1,2206395762.00013,31835829,67863828412.6882,-0.301544032,2,6,5,NF,1,4,-3,0,0
102,Berbers,Algeria,2004,0.28,Sunni Muslim,"",1,0,1,2802224794.13161,32275938,85332581188.6107,-0.251759558,2,6,5,NF,3,1,2,1,0
102,Berbers,Algeria,2005,0.28,Sunni Muslim,"",1,0,1,2924820166.95712,32744434,103198223709.439,-0.18633669,1,6,5,NF,3,1,2,0,1
102,Berbers,Algeria,2006,0.28,Sunni Muslim,"",1,0,1,3093978245.36868,33168947,117027307540.89,-0.242081728,1,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2007,0.28,Sunni Muslim,"",1,0,1,3945815125.46831,33701214,134977082623.78,-0.245638884,1,6,5,NF,3,1,2,1,0
102,Berbers,Algeria,2008,0.28,Sunni Muslim,"",1,0,1,5172336907.04027,34266441,171000699876.747,-0.24908235,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2009,0.28,Sunni Muslim,"",1,0,1,5280588155.94226,34872742,137211035770.034,,3,6,5,NF,3,1,2,1,0
102,Berbers,Algeria,2010,0.28,Sunni Muslim,"",1,0,1,5671309117.30702,35519331,161207270185.25,,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2011,0.28,Sunni Muslim,"",1,0,1,8652237040.00252,36193356,200013052199.2,,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2012,0.28,Sunni Muslim,"",1,0,1,9326287144.03632,36893727,209058991952.125,,3,6,5,NF,3,1,2,1,0
102,Berbers,Algeria,2013,0.28,Sunni Muslim,"",1,0,1,10161588239.1481,37627398,209755003250.664,,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2014,0.28,Sunni Muslim,"",1,0,1,9724379971.92326,38373855,213810024944.464,,3,6,5,NF,3,1,2,1,0
102,Berbers,Algeria,2015,0.28,Sunni Muslim,"",1,1,1,10412714002.8964,39146480,165979279263.174,,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2016,0.28,Sunni Muslim,"",1,0,1,10217081699.5693,39939829,160034163871.455,,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2017,0.28,Sunni Muslim,"",1,0,1,10073364021.3013,40738828,170097014589.134,,3,6,5,NF,3,1,2,1,0
102,Berbers,Algeria,2018,0.28,Sunni Muslim,"",1,0,1,9583724288.3703,41534264,174910878623.049,,3,6,5,NF,3,1,2,0,0
102,Berbers,Algeria,2019,0.28,Sunni Muslim,"",0,0,0,10303600575.2107,42319750,171767403748.19,,3,6,5,NF,,,,2,0
102,Berbers,Algeria,2020,0.28,Sunni Muslim,"",1,0,1,9708277440.22726,43090987,145009181490.62,,3,6,5,NF,,,,0,0
102,Berbers,Algeria,1963,0.28,Sunni Muslim,"",0,1,0,66436300.1462409,11868447,2702960118.28806,-1.078798048,,,,"",0,8,-8,0,0
102,Berbers,Algeria,1964,0.28,Sunni Muslim,"",0,0,0,99856999.9149291,12070454,2909292864.23204,-1.07729626,,,,"",0,8,-8,0,0
102,Berbers,Algeria,1965,0.28,Sunni Muslim,"",0,0,0,105528391.390828,12287743,3136258896.9233,-1.13240001,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1966,0.28,Sunni Muslim,"",0,0,0,104515642.912989,12474769,3039834558.74906,-1.285459875,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1967,0.28,Sunni Muslim,"",0,0,0,99249350.8282257,12752009,3370843065.76735,-1.44205433,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1968,0.28,Sunni Muslim,"",0,0,0,99249350.8282257,13042222,3852115816.97758,-1.44292699,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1969,0.28,Sunni Muslim,"",0,0,0,99249350.8282257,13339728,4257218772.15369,-1.45245995,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1970,0.28,Sunni Muslim,"",0,0,0,98844251.4370901,13642304,4863487492.65763,-1.44213834,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1971,0.28,Sunni Muslim,"",0,0,0,99946261.0734758,13949526,5077222366.97472,-1.4436121639,,,,"",0,9,-9,0,0
102,Berbers,Algeria,1972,0.28,Sunni Muslim,"",0,0,0,109942841.328331,14271016,6766766610.86932,-1.14218572,,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1973,0.28,Sunni Muslim,"",0,0,0,136757097.791798,14608481,8707847924.29022,-1.14291825,,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1974,0.28,Sunni Muslim,"",0,0,0,260168630.030497,14964456,13210029612.2659,-1.147946,,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1975,0.28,Sunni Muslim,"",0,0,0,332252159.18327,15342747,15557934268.4965,-1.23363739,1,7,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1976,0.28,Sunni Muslim,"",0,0,0,480640373.503177,16106636,17728347374.994,-1.14072477,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1977,0.28,Sunni Muslim,"",0,0,0,471669447.954548,16894396,20971901273.271,-1.05417077,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1978,0.28,Sunni Muslim,"",0,0,0,627852442.068635,17373987,26364491313.4471,-1.05109938,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1979,0.28,Sunni Muslim,"",0,0,0,711681247.356142,17891303,33243422157.6311,-1.04998067,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1980,0.28,Sunni Muslim,"",0,0,0,890174464.813874,18442659,42346380830.7708,-1.1201501,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1981,0.28,Sunni Muslim,"",0,0,0,806569334.609262,19036098,44348672667.8715,-1.05269428,1,,,"",0,9,-9,0,0
102,Berbers,Algeria,1982,0.28,Sunni Muslim,"",0,0,0,932452707.749462,19666615,45207088715.6483,-1.05615651,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1983,0.28,Sunni Muslim,"",0,0,0,952430671.56699,20333578,48801369800.3675,-1.12745604,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1984,0.28,Sunni Muslim,"",0,0,0,929290821.271549,21030644,53698278905.9678,-1.13539258,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1985,0.28,Sunni Muslim,"",0,0,0,953299653.924182,21756416,57937868670.1937,-1.173432988,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1986,0.28,Sunni Muslim,"",0,0,0,1127103217.13537,22509394,63692238160.0493,-1.132766578,1,6,6,NF,0,9,-9,0,0
102,Berbers,Algeria,1987,0.28,Sunni Muslim,"",0,0,0,1196971384.03296,23255711,66746396416.2732,-1.1263586,1,6,6,NF,0,9,-9,0,0
103,Chittagong Hill Peoples,Bangladesh,2004,0.00420000147081817,Buddhist,Muslim,0,0,0,770641160.288967,137656642,65108544250.0425,0.349695128,3,4,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2005,0.00420000057559519,Buddhist,Muslim,1,1,1,773677668.179153,139922808,69442943089.4309,0.341040436,3,4,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2006,0.00420000238727381,Buddhist,Muslim,1,0,1,829682794.837739,141902371,71819083683.7403,0.345677827,3,4,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2007,,Buddhist,Muslim,0,0,0,953464223.599622,143355291,79611888213.148,-0.478660901,1,5,4,PF,0,6,-6,0,0
103,Chittagong Hill Peoples,Bangladesh,2008,,Buddhist,Muslim,0,0,0,1030020018.23876,144916577,91631278239.3237,-0.21470083,1,4,4,PF,0,6,-6,1,0
103,Chittagong Hill Peoples,Bangladesh,2009,,Buddhist,Muslim,0,0,0,1258791156.60238,145926059,102477791472.39,,3,3,4,PF,6,1,5,0,0
103,Chittagong Hill Peoples,Bangladesh,2010,,Buddhist,Muslim,0,0,0,1624625085.96641,147487561,115279077465.226,,3,3,4,PF,6,1,5,0,0
103,Chittagong Hill Peoples,Bangladesh,2011,,Buddhist,Muslim,0,0,0,1801539801.81356,149294718,128637938711.386,,3,3,4,PF,6,1,5,0,0
103,Chittagong Hill Peoples,Bangladesh,2012,,Buddhist,Muslim,0,0,0,1823425076.37789,151127293,133355749482.478,,3,3,4,PF,6,1,5,0,0
103,Chittagong Hill Peoples,Bangladesh,2013,,Buddhist,Muslim,0,0,0,2047989070.87034,153054006,149990451022.29,,3,3,4,PF,5,1,4,1,0
103,Chittagong Hill Peoples,Bangladesh,2014,,Buddhist,Muslim,0,0,0,2355991524.71153,155006273,172885454931.453,,3,4,4,PF,3,2,1,1,0
103,Chittagong Hill Peoples,Bangladesh,2015,,Buddhist,Muslim,0,0,0,2815281640.95454,156916324,195078678697.23,,3,4,4,PF,3,2,1,0,0
103,Chittagong Hill Peoples,Bangladesh,2016,,Buddhist,Muslim,1,1,1,3239753509.63918,158743675,265236247989.155,,3,4,4,PF,3,2,1,0,0
103,Chittagong Hill Peoples,Bangladesh,1991,,Buddhist,Muslim,1,0,1,381720110.052258,108293724,30957483949.5798,0.38538913,1,2,3,F,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1992,,Buddhist,Muslim,0,0,0,427723624.979361,110191945,31708874594.1645,0.388617925,4,2,3,F,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1993,,Buddhist,Muslim,0,0,0,471044672.335061,112352260,33166519417.9894,0.34850982,4,2,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1994,,Buddhist,Muslim,0,0,0,547417522.185003,114485254,33768660882.793,0.34886696,4,2,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1995,,Buddhist,Muslim,0,0,0,620095155.928424,116744529,37939748768.6567,0.319357949,4,3,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1996,,Buddhist,Muslim,0,0,0,638958844.832812,118842148,46438484107.5795,0.348326502,4,2,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1997,,Buddhist,Muslim,0,0,0,681915123.987305,120911588,48244309133.4895,0.3540701,4,2,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1998,,Buddhist,Muslim,0,0,0,701585600.35317,123166863,49984559471.3656,0.351226807,4,2,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,1999,,Buddhist,Muslim,0,0,0,737412573.607247,125534079,51270569883.5275,0.39544147,4,3,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2000,,Buddhist,Muslim,0,0,0,740798160.005685,127975569,53369787318.6245,0.23786194,4,3,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2001,,Buddhist,Muslim,0,0,0,705481695.212977,130411085,53991289844.3291,0.39776165,4,3,4,PF,6,0,6,1,0
103,Chittagong Hill Peoples,Bangladesh,2002,,Buddhist,Muslim,0,0,0,681816161.719721,132929883,54724081490.5102,0.34796556,3,4,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2003,,Buddhist,Muslim,0,0,0,719442956.940887,135349769,60158929188.2556,0.347022833,3,4,4,PF,6,0,6,0,0
103,Chittagong Hill Peoples,Bangladesh,2017,,Buddhist,Muslim,1,0,1,3266033239.35658,160825462,293754646182.389,,3,4,4,PF,3,2,1,0,0
103,Chittagong Hill Peoples,Bangladesh,2018,,Buddhist,Muslim,0,0,0,3649623807.57659,162762465,321379023557.462,,3,5,5,PF,0,6,-6,2,0
103,Chittagong Hill Peoples,Bangladesh,2019,,Buddhist,Muslim,0,0,0,4348501894.83657,164605451,351238438542.792,,3,5,5,PF,,,,0,0
103,Chittagong Hill Peoples,Bangladesh,2020,,Buddhist,Muslim,0,0,0,4558171467.63472,166426993,373902134700.41,,3,5,5,PF,,,,0,0
103,Chittagong Hill Peoples,Bangladesh,1972,,Buddhist,Muslim,0,0,0,,68456814,6288245866.66667,0.0705369,,2,4,PF,8,0,8,0,0
103,Chittagong Hill Peoples,Bangladesh,1973,,Buddhist,Muslim,0,0,0,48606800.1313768,70236597,8086725729.3407,0.13384104,,4,4,PF,8,0,8,0,0
103,Chittagong Hill Peoples,Bangladesh,1974,,Buddhist,Muslim,0,0,0,72298235.0382714,72053039,12512460519.7088,-0.14146396,,4,4,PF,2,4,-2,0,0
103,Chittagong Hill Peoples,Bangladesh,1975,,Buddhist,Muslim,1,1,0,80830559.4733651,73842575,19448348073.4565,-0.93723343,1,7,5,NF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1976,,Buddhist,Muslim,1,0,1,105287729.075513,75558114,10117113333.3333,-0.85691985,1,7,4,PF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1977,,Buddhist,Muslim,1,0,1,128522908.761231,77202045,9651149301.8746,-0.78138088,1,6,4,PF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1978,,Buddhist,Muslim,1,0,1,134871031.705263,79073530,13281767142.8571,-0.27255773,1,4,4,PF,0,4,-4,0,0
103,Chittagong Hill Peoples,Bangladesh,1979,,Buddhist,Muslim,1,0,1,136251932.925634,80941570,15565480321.9448,-0.05991901,1,3,3,PF,0,4,-4,0,0
103,Chittagong Hill Peoples,Bangladesh,1980,,Buddhist,Muslim,1,0,1,167255351.167634,82874731,18138049095.6072,-0.15969003,2,3,4,PF,0,4,-4,0,0
103,Chittagong Hill Peoples,Bangladesh,1981,,Buddhist,Muslim,1,0,1,174106138.716989,84984798,20249694002.448,-0.22961455,2,,,"",0,4,-4,0,0
103,Chittagong Hill Peoples,Bangladesh,1982,,Buddhist,Muslim,1,0,1,184674562.508557,87324874,18525399201.5968,-0.94524808,3,5,5,PF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1983,,Buddhist,Muslim,1,0,1,231804492.459502,89785798,17609048821.5488,-0.78058636,1,6,5,PF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1984,,Buddhist,Muslim,1,0,1,244337571.539817,92305158,18920840000,-0.77351659,1,6,5,PF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1985,,Buddhist,Muslim,1,0,1,224948007.05318,94763320,22278423076.9231,-0.597647667,1,5,5,PF,0,7,-7,0,0
103,Chittagong Hill Peoples,Bangladesh,1986,,Buddhist,Muslim,1,0,1,248796417.166614,97154878,21774033333.3333,-0.220141381,1,4,5,PF,0,5,-5,0,0
103,Chittagong Hill Peoples,Bangladesh,1987,,Buddhist,Muslim,1,0,1,288311839.747867,99388614,24298032258.0645,-0.2178306,2,4,5,PF,0,5,-5,0,0
103,Chittagong Hill Peoples,Bangladesh,1988,,Buddhist,Muslim,1,0,1,331995586.627989,101591898,26579005760.2634,-0.27754217,2,4,5,PF,0,5,-5,0,0
103,Chittagong Hill Peoples,Bangladesh,1989,,Buddhist,Muslim,1,0,1,378796135.246148,103785769,28781714763.8909,-0.18258212,1,4,4,PF,0,5,-5,0,0
103,Chittagong Hill Peoples,Bangladesh,1990,,Buddhist,Muslim,1,0,1,373023438.959292,106001578,31598341233.463,-0.252770148,1,5,5,PF,0,5,-5,0,0
104,Walloons,Belgium,1965,0.4,Catholic,"",0,0,0,500722082.825724,9383769,17371457607.9374,1.54632162,,,,"",9,0,9,0,0
104,Walloons,Belgium,1962,0.4,Catholic,"",0,0,0,422220787.917416,9201381,13264015675.3193,1.303009161,,,,"",9,0,9,0,0
104,Walloons,Belgium,1963,0.4,Catholic,"",0,0,0,444601321.53259,9259278,14260017387.0492,1.587854584,,,,"",9,0,9,0,0
104,Walloons,Belgium,1964,0.4,Catholic,"",0,0,0,497059226.927638,9317165,15960106680.6732,1.58780978,,,,"",9,0,9,0,0
104,Walloons,Belgium,1976,0.4,Catholic,"",0,0,0,2109619988.35942,9768459,71113882967.6071,2.10355421,6,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1977,0.4,Catholic,"",0,0,0,2496513861.83075,9778615,82839905458.6382,2.10347083,6,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1966,0.4,Catholic,"",0,0,0,563377895.390772,9440406,18651883472.4808,1.532493532,,,,"",9,0,9,0,0
104,Walloons,Belgium,1967,0.4,Catholic,"",0,0,0,607918707.189363,9491824,19992040788.4593,1.5333369,,,,"",9,0,9,0,0
104,Walloons,Belgium,1968,0.4,Catholic,"",0,0,0,646381114.508621,9538635,21376353113.475,2.03828892,,,,"",9,0,9,0,0
104,Walloons,Belgium,1969,0.4,Catholic,"",0,0,0,675078864.353312,9573873,23710735894.7022,2.04517654,,,,"",9,0,9,0,0
104,Walloons,Belgium,1970,0.4,Catholic,"",0,0,0,747755088.868629,9610327,26706196046.7931,2.04911982,,,,"",10,0,10,0,0
104,Walloons,Belgium,1971,0.4,Catholic,"",0,0,0,828721558.437287,9648425,29821661869.912,2.0460354205,,,,"",10,0,10,0,0
104,Walloons,Belgium,1972,0.4,Catholic,"",0,0,0,1026588090.80827,9684365,37209418018.5134,2.10721998,,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1973,0.4,Catholic,"",0,0,0,1296519775.36788,9716231,47743801490.3747,2.11674285,,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1974,0.4,Catholic,"",0,0,0,1482318435.92776,9739729,56033077879.0389,2.10914976,,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1975,0.4,Catholic,"",0,0,0,1927662477.5426,9758400,65678189097.2908,2.10545211,6,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1978,0.4,Catholic,"",0,0,0,3166647025.36802,9794132,101246526194.441,2.10182384,3,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1979,0.4,Catholic,"",0,0,0,3631580468.11257,9806279,116315456796.918,2.10207637,5,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1980,0.4,Catholic,"",0,0,0,3958575326.74283,9821994,126829314388.191,1.63146447,5,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1981,0.4,Catholic,"",0,0,0,3385176171.48879,9835977,104730018470.23,2.09701348,5,,,"",10,0,10,0,0
104,Walloons,Belgium,1982,0.4,Catholic,"",0,0,0,2891774968.21585,9851206,92095926187.5331,2.10229409,7,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1983,0.4,Catholic,"",0,0,0,2671831608.17975,9863479,87184239053.2544,2.01081544,7,1,1,F,10,0,10,0,0
104,Walloons,Belgium,1984,0.4,Catholic,"",0,0,0,2407447484.34479,9869585,83349530159.1734,2.00201273,7,1,1,F,10,0,10,0,0
